instance,lb,gap,capacity,gap_capacity,num_moves,gap_moves
data10-6-37-c0.25-p2,699,0,16,0,5,0
data10-6-37-c0.25-p5,855,0,16,0,9,0
data10-6-37-c0.25-p10,637,0,12,0,11,0
data10-6-37-c0.25-p15,425,0,8,0,7,0
data10-6-37-c0.50-p2,1300,0,30,0,20,0
data10-6-37-c0.50-p5,1770,0,33,0,12,0
data10-6-37-c0.50-p10,1278,0,24,0,18,0
data10-6-37-c0.50-p15,851,0,16,0,13,0
data20-20-6-c0.25-p2,37916,0.00263734,104,0,44,2.32558
data20-20-6-c0.25-p5,39064,0.0537291,104,0,40,110.526
data20-20-6-c0.25-p10,37518,0.0665903,100,0,82,43.8596
data20-20-6-c0.25-p15,39839,0.0827648,106,0,123,36.6667
data20-20-6-c0.50-p2,72815,0,200,0,185,0
data20-20-6-c0.50-p5,81078,0.0936491,216,0,138,122.581
data20-20-6-c0.50-p10,79571,0.0477333,212,0,141,36.8932
data20-20-6-c0.50-p15,75232,0.021263,200,0,168,10.5263
data30-30-32-c0.25-p2,194963,0.0425541,228,0,205,68.0328
data30-30-32-c0.25-p5,197110,0.0253601,228,0,110,83.3333
data30-30-32-c0.25-p10,207680,0.008185,240,0,160,11.8881
data30-30-32-c0.25-p15,200245,0.041931,231,0,263,46.9274
data30-30-32-c0.50-p2,384723,0.0106559,450,0,477,9.40367
data30-30-32-c0.50-p5,399365,-0.0766804,462,0,265,-53.5902
data30-30-32-c0.50-p10,394603,-0.106549,456,0,293,-58.906
data30-30-32-c0.50-p15,390248,-0.0869434,450,0,352,-49.0593
data5-10-36-c0.25-p2,418,0,14,0,2,0
data5-10-36-c0.25-p5,504,0,14,0,0,0
data5-10-36-c0.25-p10,551,0,15,0,4,0
data5-10-36-c0.25-p15,579,0,15,0,6,0
data5-10-36-c0.50-p2,735,0,25,0,15,0
data5-10-36-c0.50-p5,900,0,25,0,0,0
data5-10-36-c0.50-p10,921,0.10846,25,0,4,33.3333
data5-10-36-c0.50-p15,928,0,24,0,8,0
data5-4-4-c0.25-p2,69,0,7,0,1,0
data5-4-4-c0.25-p5,87,1.13636,7,0,4,33.3333
data5-4-4-c0.25-p10,59,0,4,0,1,0
data5-4-4-c0.25-p15,29,0,2,0,1,0
data5-4-4-c0.50-p2,96,0,10,0,4,0
data5-4-4-c0.50-p5,127,0,10,0,3,0
data5-4-4-c0.50-p10,89,0,6,0,1,0
data5-4-4-c0.50-p15,89,0,6,0,1,0
data5-6-10-c0.25-p2,195,0,10,0,5,0
data5-6-10-c0.25-p5,228,0,10,0,2,0
data5-6-10-c0.25-p10,210,0,9,0,6,0
data5-6-10-c0.25-p15,95,0,4,0,1,0
data5-6-10-c0.50-p2,289,0,15,0,11,0
data5-6-10-c0.50-p5,435,0,19,0,2,0
data5-6-10-c0.50-p10,282,0,12,0,6,0
data5-6-10-c0.50-p15,189,0.526316,8,0,3,50
data5-7-37-c0.25-p2,199,0,10,0,1,0
data5-7-37-c0.25-p5,249,0.4,10,0,1,100
data5-7-37-c0.25-p10,302,0,11,0,6,0
data5-7-37-c0.25-p15,161,0,6,0,7,0
data5-7-37-c0.50-p2,351,0,18,0,9,0
data5-7-37-c0.50-p5,475,0,19,0,0,0
data5-7-37-c0.50-p10,496,0.201207,18,0,8,14.2857
data5-7-37-c0.50-p15,406,0,15,0,14,0
data5-9-26-c0.25-p2,357,0,12,0,3,0
data5-9-26-c0.25-p5,396,0,12,0,0,0
data5-9-26-c0.25-p10,417,0,12,0,3,0
data5-9-26-c0.25-p15,312,0,9,0,3,0
data5-9-26-c0.50-p2,674,0,23,0,16,0
data5-9-26-c0.50-p5,758,0,23,0,1,0
data5-9-26-c0.50-p10,799,0,23,0,6,0
data5-9-26-c0.50-p15,623,0,18,0,7,0
data6-6-19-c0.25-p2,223,0,9,0,2,0
data6-6-19-c0.25-p5,267,0,9,0,3,0
data6-6-19-c0.25-p10,350,0,12,0,10,0
data6-6-19-c0.25-p15,174,0,6,0,6,0
data6-6-19-c0.50-p2,437,0,18,0,13,0
data6-6-19-c0.50-p5,566,0.176367,19,0,4,33.3333
data6-6-19-c0.50-p10,469,0,16,0,11,0
data6-6-19-c0.50-p15,351,0,12,0,9,0
