instance,lb,gap,capacity,gap_capacity,num_moves,gap_moves
data10-6-37-c0.25-p2,699,0,16,0,5,0
data10-6-37-c0.25-p5,855,0,16,0,9,0
data10-6-37-c0.25-p10,637,0,12,0,11,0
data10-6-37-c0.25-p15,425,0,8,0,7,0
data10-6-37-c0.50-p2,1300,0,30,0,20,0
data10-6-37-c0.50-p5,1770,0,33,0,12,0
data10-6-37-c0.50-p10,1278,0,24,0,18,0
data10-6-37-c0.50-p15,851,0,16,0,13,0
data20-20-6-c0.25-p2,37917,0,104,0,43,0
data20-20-6-c0.25-p5,39078,0.0179097,104,0,26,36.8421
data20-20-6-c0.25-p10,37524,0.0506086,100,0,76,33.3333
data20-20-6-c0.25-p15,39851,0.0526685,106,0,111,23.3333
data20-20-6-c0.50-p2,72810,0.00686672,200,0,190,2.7027
data20-20-6-c0.50-p5,81129,0.0308056,216,0,87,40.3226
data20-20-6-c0.50-p10,79592,0.0213544,212,0,120,16.5049
data20-20-6-c0.50-p15,75242,0.00797363,200,0,158,3.94737
data30-30-32-c0.25-p2,195060,-0.00717779,228,0,108,-11.4754
data30-30-32-c0.25-p5,197149,0.00557922,228,0,71,18.3333
data30-30-32-c0.25-p10,207711,-0.00674059,240,0,129,-9.79021
data30-30-32-c0.25-p15,200293,0.0179704,231,0,215,20.1117
data30-30-32-c0.50-p2,384764,0,450,0,436,0
data30-30-32-c0.50-p5,399365,-0.0766804,462,0,265,-53.5902
data30-30-32-c0.50-p10,394603,-0.106549,456,0,293,-58.906
data30-30-32-c0.50-p15,390248,-0.0869434,450,0,352,-49.0593
data5-10-36-c0.25-p2,418,0,14,0,2,0
data5-10-36-c0.25-p5,504,0,14,0,0,0
data5-10-36-c0.25-p10,551,0,15,0,4,0
data5-10-36-c0.25-p15,579,0,15,0,6,0
data5-10-36-c0.50-p2,735,0,25,0,15,0
data5-10-36-c0.50-p5,899,0.111111,25,0,1,100
data5-10-36-c0.50-p10,921,0.10846,25,0,4,33.3333
data5-10-36-c0.50-p15,927,0.107759,24,0,9,12.5
data5-4-4-c0.25-p2,69,0,7,0,1,0
data5-4-4-c0.25-p5,87,1.13636,7,0,4,33.3333
data5-4-4-c0.25-p10,59,0,4,0,1,0
data5-4-4-c0.25-p15,29,0,2,0,1,0
data5-4-4-c0.50-p2,96,0,10,0,4,0
data5-4-4-c0.50-p5,127,0,10,0,3,0
data5-4-4-c0.50-p10,89,0,6,0,1,0
data5-4-4-c0.50-p15,89,0,6,0,1,0
data5-6-10-c0.25-p2,195,0,10,0,5,0
data5-6-10-c0.25-p5,228,0,10,0,2,0
data5-6-10-c0.25-p10,210,0,9,0,6,0
data5-6-10-c0.25-p15,95,0,4,0,1,0
data5-6-10-c0.50-p2,289,0,15,0,11,0
data5-6-10-c0.50-p5,434,0.229885,19,0,3,50
data5-6-10-c0.50-p10,282,0,12,0,6,0
data5-6-10-c0.50-p15,189,0.526316,8,0,3,50
data5-7-37-c0.25-p2,199,0,10,0,1,0
data5-7-37-c0.25-p5,249,0.4,10,0,1,100
data5-7-37-c0.25-p10,302,0,11,0,6,0
data5-7-37-c0.25-p15,161,0,6,0,7,0
data5-7-37-c0.50-p2,351,0,18,0,9,0
data5-7-37-c0.50-p5,475,0,19,0,0,0
data5-7-37-c0.50-p10,496,0.201207,18,0,8,14.2857
data5-7-37-c0.50-p15,406,0,15,0,14,0
data5-9-26-c0.25-p2,357,0,12,0,3,0
data5-9-26-c0.25-p5,396,0,12,0,0,0
data5-9-26-c0.25-p10,417,0,12,0,3,0
data5-9-26-c0.25-p15,312,0,9,0,3,0
data5-9-26-c0.50-p2,674,0,23,0,16,0
data5-9-26-c0.50-p5,758,0,23,0,1,0
data5-9-26-c0.50-p10,799,0,23,0,6,0
data5-9-26-c0.50-p15,623,0,18,0,7,0
data6-6-19-c0.25-p2,223,0,9,0,2,0
data6-6-19-c0.25-p5,266,0.374532,9,0,4,33.3333
data6-6-19-c0.25-p10,350,0,12,0,10,0
data6-6-19-c0.25-p15,174,0,6,0,6,0
data6-6-19-c0.50-p2,437,0,18,0,13,0
data6-6-19-c0.50-p5,566,0.176367,19,0,4,33.3333
data6-6-19-c0.50-p10,469,0,16,0,11,0
data6-6-19-c0.50-p15,351,0,12,0,9,0
