,exact,,,,,KSH_F1,,,,KSH_F2,,,
instance,lb,ub,num_items,num_moves,time,lb,num_items,num_moves,time,lb,num_items,num_moves,time
data20-20-6-c0.25-p15,39872.00,39935.22,106.00,90.00,3600.11,39839.00,106.00,123.00,355.09,39851.00,106.00,111.00,359.75
data20-20-6-c0.50-p5,81154.00,81193.29,216.00,62.00,3600.09,81078.00,216.00,138.00,189.49,81129.00,216.00,87.00,186.81
data20-20-6-c0.50-p10,79609.00,79704.18,212.00,103.00,3600.26,79571.00,212.00,141.00,303.24,79592.00,212.00,120.00,299.90
data20-20-6-c0.50-p15,75248.00,75395.84,200.00,152.00,3600.16,75232.00,200.00,168.00,405.32,75242.00,200.00,158.00,398.55
data30-30-32-c0.25-p5,197160.00,197208.99,228.00,60.00,3600.96,197110.00,228.00,110.00,201.16,197149.00,228.00,71.00,187.78
data30-30-32-c0.25-p10,207697.00,207834.20,240.00,143.00,3600.36,207680.00,240.00,160.00,318.62,207711.00,240.00,129.00,302.92
data30-30-32-c0.25-p15,200329.00,200503.31,231.00,179.00,3600.44,200245.00,231.00,263.00,456.21,200293.00,231.00,215.00,402.88
data30-30-32-c0.50-p5,399059.00,399571.50,462.00,571.00,3600.58,399365.00,462.00,265.00,504.59,399365.00,462.00,265.00,194.87
data30-30-32-c0.50-p10,394180.00,394885.67,456.00,716.00,3600.34,394603.00,456.00,293.00,854.59,394603.00,456.00,293.00,306.98
data30-30-32-c0.50-p15,389909.00,390597.00,450.00,691.00,3600.52,390248.00,450.00,352.00,589.27,390248.00,450.00,352.00,411.05
